time,range_raw,copol_raw,time,range_raw,crosspol_raw,time,weather_inside_temperature,time,weather_outside_temperature,time,weather_inside_humidity,time,weather_outside_humidity,time,weather_wind_speed,time,weather_wind_direction,time,weather_barometric_pressure,time,weather_dew_point,time,weather_rain_rate,time,elevation_angle,time,azimuth_angle,time,copol_background,time,crosspol_background,time,telescope_temperature,time,detector_temperature,time,laser_temperature,time,date_yyyyMMdd,time,time_hhmmss,time,year,time,month,time,day,time,hour,time,minute,time,second,time,aod_age_secs,time,latitude,time,longitude,time,altitude,time,laser_energy,time,syncpulse,time,range_raw,copol_snr,time,range_raw,crosspol_snr,time,aeronet_aod,time,sda_aod_totals,time,sda_aod_fines,time,sda_aod_coarses,time,sda_ae_totals,time,sda_ae_fines,time,sda_dae_totals,time,sda_dae_fines,time,range_nrb,copol_nrb,time,range_nrb,crosspol_nrb,time,range_radiometer,radiometer_temperature,time,range_radiometer,radiometer_vaporDensity,time,range_radiometer,radiometer_liquid,time,range_radiometer,radiometer_relativeHumidity,time,number_of_clouds,number_of_cloud_outlines,clouds,time,number_of_clouds,pbls,time,range_vbp,extinction_coefficient,time,range_vbp,mass_concentration,time,range_vbp,VBP,time,range_nrb,depolarization_ratio,time,range_nrb,particle_type,time,number_of_particle_type,particle_type_mapping,time,lidar_ratio,time,aod
83.7125,0.62956417,2.3216422,83.7125,0.62956417,0.08821955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.7125,0.62956417,7342.796,83.7125,0.62956417,290.68213,,,,,,,,,,,,,,,,,83.7125,0.7195019,0.25511467,83.7125,0.7195019,0.008802175,,,,,,,,,,,,,83.7125,6.0,2.0,,,,,83.7125,0.7195019,0.09906901,83.7125,0.7195019,27.935904,83.7125,0.7195019,0.0033023,83.7125,0.7195019,0.033306822,83.7125,0.7195019,6.0,,,,,,,
83.7125,0.6595434,2.0827608,83.7125,0.6595434,0.07893798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.7125,0.6595434,6588.8394,83.7125,0.6595434,260.05954,,,,,,,,,,,,,,,,,83.7125,0.74948114,0.24700244,83.7125,0.74948114,0.008339803,,,,,,,,,,,,,83.7125,7.0,0.0,,,,,83.7125,0.74948114,0.09554253,83.7125,0.74948114,27.920387,83.7125,0.74948114,0.003184751,83.7125,0.74948114,0.03262496,83.7125,0.74948114,6.0,,,,,,,
83.7125,0.6895226,1.8759185,83.7125,0.6895226,0.07120333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.7125,0.6895226,5940.1895,83.7125,0.6895226,234.07878,,,,,,,,,,,,,,,,,83.7125,0.7794604,0.24111935,83.7125,0.7794604,0.008039176,,,,,,,,,,,,,83.7125,7.0,1.0,,,,,83.7125,0.7794604,0.0933287,83.7125,0.7794604,27.910646,83.7125,0.7794604,0.0031109566,83.7125,0.7794604,0.03225031,83.7125,0.7794604,6.0,,,,,,,
83.7125,0.7195019,1.7167186,83.7125,0.7195019,0.06342407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.7125,0.7195019,5436.271,83.7125,0.7195019,208.18973,,,,,,,,,,,,,,,,,83.7125,0.80943966,0.23331088,83.7125,0.80943966,0.007367728,,,,,,,,,,,,,83.7125,7.0,2.0,,,,,83.7125,0.80943966,0.089909025,83.7125,0.80943966,27.8956,83.7125,0.80943966,0.0029969672,83.7125,0.80943966,0.030601539,83.7125,0.80943966,6.0,,,,,,,
83.7125,0.74948114,1.5349696,83.7125,0.74948114,0.055897668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.7125,0.74948114,4859.7305,83.7125,0.74948114,182.88054,,,,,,,,,,,,,,,,,83.7125,0.8394189,0.2288757,83.7125,0.8394189,0.00761778,,,,,,,,,,,,,83.7125,8.0,0.0,,,,,83.7125,0.8394189,0.088279754,83.7125,0.8394189,27.888432,83.7125,0.8394189,0.0029426585,83.7125,0.8394189,0.03219853,83.7125,0.8394189,6.0,,,,,,,
83.7125,0.7794604,1.3995537,83.7125,0.7794604,0.050691653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.7125,0.7794604,4429.635,83.7125,0.7794604,166.07365,,,,,,,,,,,,,,,,,83.7125,0.8693981,0.2245956,83.7125,0.8693981,0.0069193295,,,,,,,,,,,,,83.7125,8.0,1.0,,,,,83.7125,0.8693981,0.086771555,83.7125,0.8693981,27.881796,83.7125,0.8693981,0.0028923852,83.7125,0.8693981,0.02989233,83.7125,0.8693981,5.0,,,,,,,
83.7125,0.80943966,1.2715306,83.7125,0.80943966,0.04425108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.7125,0.80943966,4023.5364,83.7125,0.80943966,144.47739,,,,,,,,,,,,,,,,,83.7125,0.8993774,0.22212905,83.7125,0.8993774,0.006923862,,,,,,,,,,,,,83.7125,8.0,2.0,,,,,83.7125,0.8993774,0.08624336,83.7125,0.8993774,27.87947,83.7125,0.8993774,0.002874779,83.7125,0.8993774,0.030219534,83.7125,0.8993774,6.0,,,,,,,
83.7125,0.8394189,1.166518,83.7125,0.8394189,0.042733897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.7125,0.8394189,3692.552,83.7125,0.8394189,139.28824,,,,,,,,,,,,,,,,,83.7125,0.92935663,0.21693696,83.7125,0.92935663,0.0066900044,,,,,,,,,,,,,83.7125,9.0,0.0,,,,,83.7125,0.92935663,0.08407811,83.7125,0.92935663,27.869944,83.7125,0.92935663,0.0028026036,83.7125,0.92935663,0.029926628,83.7125,0.92935663,5.0,,,,,,,
83.7125,0.8693981,1.0770787,83.7125,0.8693981,0.036828797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.7125,0.8693981,3407.9683,83.7125,0.8693981,120.03973,,,,,,,,,,,,,,,,,83.7125,0.95933586,0.21740323,83.7125,0.95933586,0.0066712513,,,,,,,,,,,,,83.7125,9.0,1.0,,,,,83.7125,0.95933586,0.085175835,83.7125,0.95933586,27.874775,83.7125,0.95933586,0.0028391941,83.7125,0.95933586,0.029754,83.7125,0.95933586,5.0,,,,,,,
83.7125,0.89937735,0.99546325,83.7125,0.89937735,0.034716647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.7125,0.89937735,3150.3416,83.7125,0.89937735,112.75104,,,,,,,,,,,,,,,,,83.7125,0.98931515,0.2161597,83.7125,0.98931515,0.006897619,,,,,,,,,,,,,83.7125,9.0,2.0,,,,,83.7125,0.98931515,0.08530651,83.7125,0.98931515,27.875349,83.7125,0.98931515,0.0028435506,83.7125,0.98931515,0.030917207,83.7125,0.98931515,6.0,,,,,,,
