a2622612.565365
Narit-cm 26/02/2026 12:54:48 26/02/2026 12:56:53 0045 0013.384714 0052.542598 00.0 00.0
0002401 0010 0000000 0010 05 0000000 0010 0000000 0010
1 0 1 04000 1 0000 3.75 00000.o 0 0 01 000 16 002401 0.500 BT0
1 2 1 02000 1 0000 3.75 00000.o 0 0 01 000 16 002401 0.500 S2A0
1 1 1 04000 1 0000 3.75 00000.o 0 0 00 000 00 002401 3.1746 BC0
1 3 1 02000 1 0000 3.75 00000.o 0 0 00 000 00 002401 3.1746 S2P0
1 5 0 04000 0 0000 1.00 00000.o 0 0 00 000 00 000000 0.000 OF0
0.000 .o Analog 0 	0.000 .o Analog StErr 0 	0.000 .o Photon Counting 0 	0.000 .o PC StErr 0 	0.000 .o Overflow Info 0 
5.69049	0.000550227	0.0166597	0.0166632	0
5.69016	0.000544714	0	0	0
5.69047	0.000530314	0.0166597	0.0166632	0
5.6905	0.00053466	0.0166597	0.0166632	0
5.69023	0.000550681	0	0	0
5.68984	0.000554832	0.0166597	0.0166632	0
5.69054	0.000549903	0.0333195	0.0234645	0
5.69016	0.000532519	0	0	0
5.68967	0.000535049	0	0	0
5.68968	0.000530833	0	0	0
5.69117	0.000535308	0	0	0
5.69022	0.000531352	0	0	0
5.69078	0.000541406	0.0166597	0.0166632	0
5.69176	0.000553924	0.0499792	0.0289055	0
5.69053	0.00055561	0.0166597	0.0166632	0
5.68995	0.000559437	0.0333195	0.0234645	0
5.69101	0.000557881	0.0166597	0.0166632	0
5.69015	0.000537449	0	0	0
5.68975	0.000529147	0.0333195	0.0234645	0
5.6912	0.000536022	0.0166597	0.0166632	0
5.69079	0.000534465	0	0	0
5.69093	0.000523309	0	0	0
5.69056	0.000538811	0.0333195	0.0234645	0
5.69017	0.000539395	0	0	0
5.69087	0.000546141	0	0	0
5.69058	0.000536087	0	0	0
5.68892	0.000538811	0	0	0
5.69022	0.000539914	0	0	0
5.68984	0.000547762	0	0	0
5.68993	0.000552367	0.0166597	0.0166632	0
5.6904	0.0005392	0	0	0
5.69065	0.000539914	0.0166597	0.0166632	0
5.69078	0.000548151	0.0166597	0.0166632	0
5.69063	0.0005512	0.0166597	0.0166632	0
5.68994	0.000559826	0.0166597	0.0166632	0
5.69047	0.000539589	0	0	0
5.69102	0.000537449	0	0	0
5.69016	0.000536022	0	0	0
5.69058	0.000530833	0.0166597	0.0166632	0
5.69053	0.000535763	0	0	0
5.69007	0.000547892	0	0	0
5.69087	0.000538098	0	0	0
5.6912	0.000536606	0.0166597	0.0166632	0
5.69143	0.000535049	0.0166597	0.0166632	0
5.691	0.000545622	0	0	0
5.69162	0.000549708	0	0	0
5.69066	0.000531352	0.0166597	0.0166632	0
5.69059	0.000556973	0	0	0
5.69029	0.000541276	0.0166597	0.0166632	0
5.69032	0.000549384	0	0	0
5.69119	0.000526617	0	0	0
5.69047	0.000524801	0	0	0
5.6901	0.0005392	0	0	0
5.69084	0.000532001	0	0	0
5.69115	0.000530184	0.0166597	0.0166632	0
5.69085	0.000535633	0.0166597	0.0166632	0
5.69055	0.000538227	0	0	0
5.69075	0.00052973	0	0	0
5.69156	0.000538487	0.0166597	0.0166632	0
5.68969	0.000530768	0	0	0
5.69026	0.000526682	0	0	0
5.69125	0.000540822	0.0166597	0.0166632	0
5.69104	0.000541276	0.0166597	0.0166632	0
5.69145	0.000540562	0	0	0
5.69036	0.00054147	0.0166597	0.0166632	0
5.69011	0.000552756	0	0	0
5.69066	0.000544584	0	0	0
5.69053	0.000533168	0	0	0
5.69022	0.000537449	0	0	0
5.69025	0.000543027	0.0166597	0.0166632	0
5.69061	0.000534919	0	0	0
5.69123	0.000536476	0	0	0
5.69064	0.000528368	0.0166597	0.0166632	0
5.69118	0.000544973	0.0166597	0.0166632	0
5.69078	0.000546919	0	0	0
5.69098	0.00054147	0	0	0
5.69025	0.00053226	0	0	0
5.68956	0.000549059	0	0	0
5.6908	0.000542897	0	0	0
5.69001	0.000535373	0	0	0
5.69024	0.000534984	0	0	0
5.69091	0.000539265	0	0	0
5.69101	0.000538422	0.0333195	0.0234645	0
5.69129	0.000561643	0.0166597	0.0166632	0
5.69003	0.000521623	0	0	0
5.69059	0.00053693	0	0	0
5.6915	0.000548151	0	0	0
5.69103	0.000545686	0	0	0
5.69055	0.000539914	0	0	0
