a2672316.421332
Narit-cm 23/07/2026 16:40:13 23/07/2026 16:42:13 0045 0013.384714 0052.542598 00.0 00.0
0002401 0010 0000000 0010 05 0000000 0010 0000000 0010
1 0 1 05024 0 0750 3.75 00532.p 0 0 01 000 16 002401 0.500 BT0
1 2 1 04090 0 0750 3.75 00532.p 0 0 01 000 16 002401 0.500 S2A0
1 1 1 05024 0 0750 3.75 00532.p 0 0 00 000 00 002401 3.1746 BC0
1 3 1 04090 0 0750 3.75 00532.p 0 0 00 000 00 002401 3.1746 S2P0
1 5 0 05024 0 0000 1.00 00000.o 0 0 00 000 00 000000 0.000 OF0
532.000 .p Analog 0 	532.000 .p Analog StErr 0 	532.000 .p Photon Counting 0 	532.000 .p PC StErr 0 	0.000 .o Overflow Info 0 
6.02783	0.00102067	1.21616	0.142147	0
6.02608	0.00101205	1.24948	0.145888	0
6.02612	0.000997712	1.26614	0.142827	0
6.02714	0.000980329	1.1995	0.141127	0
6.02533	0.00102041	1.18284	0.142147	0
6.02587	0.00102826	1.39942	0.149969	0
6.02613	0.00101179	1.0329	0.131605	0
6.02511	0.000997712	1.46606	0.153369	0
6.0259	0.00100439	1.04956	0.132625	0
6.02803	0.00102281	1.2828	0.147588	0
6.02824	0.00105888	1.61599	0.160851	0
6.0281	0.00106802	1.2828	0.143848	0
6.0262	0.00100653	1.26614	0.142827	0
6.02635	0.00104785	1.38276	0.149289	0
6.02671	0.000990836	1.33278	0.148268	0
6.02568	0.0010007	1.1995	0.139087	0
6.02717	0.00101133	1.3661	0.148268	0
6.02904	0.00103507	1.33278	0.146568	0
6.02757	0.00100258	1.09954	0.133646	0
6.02547	0.000999139	1.4494	0.15439	0
6.02615	0.00102807	1.3661	0.148268	0
6.02623	0.000978253	0.882965	0.120043	0
6.02714	0.0010354	1.46606	0.15711	0
6.02766	0.00103183	1.3661	0.150309	0
6.02508	0.000976826	0.999584	0.129565	0
6.02484	0.000996804	1.18284	0.140447	0
6.02592	0.000945562	1.26614	0.142827	0
6.0253	0.00100238	1.14952	0.136366	0
6.02663	0.0010064	1.2828	0.143848	0
6.02585	0.000989085	1.16618	0.139427	0
6.02641	0.000987464	1.18284	0.140447	0
6.02735	0.000963205	1.1995	0.141127	0
6.02672	0.00100945	1.31612	0.145548	0
6.02772	0.00104097	1.33278	0.150309	0
6.02762	0.000980134	1.3661	0.148268	0
6.02556	0.000995766	1.13286	0.135346	0
6.02464	0.000961	1.08288	0.134666	0
6.02472	0.000994144	1.38276	0.149289	0
6.02477	0.000958794	0.916285	0.122083	0
6.02523	0.000961454	1.08288	0.132625	0
6.02466	0.000964632	1.1162	0.134326	0
6.02683	0.00106368	1.4494	0.15439	0
6.02759	0.00103157	1.24948	0.143848	0
6.02635	0.00101918	1.14952	0.136366	0
6.02578	0.000996804	1.43274	0.153709	0
6.0271	0.00106828	1.41608	0.15813	0
6.0274	0.00104156	1.21616	0.140107	0
6.02505	0.00098662	1.16618	0.137386	0
6.0258	0.00100083	1.31612	0.149289	0
6.02758	0.00103442	1.39942	0.152009	0
6.02678	0.00104325	1.13286	0.135346	0
6.02605	0.00101685	1.31612	0.145548	0
6.02594	0.000992004	1.41608	0.15439	0
6.02614	0.000994339	1.13286	0.139427	0
6.02612	0.00103086	1.21616	0.145888	0
6.02605	0.00102359	1.21616	0.144188	0
6.02621	0.00101367	1.18284	0.138407	0
6.02697	0.0010007	1.06622	0.133646	0
6.02576	0.000994209	1.38276	0.149289	0
6.02599	0.000975918	1.16618	0.139427	0
6.02632	0.00100686	1.33278	0.148268	0
6.0274	0.000976956	1.18284	0.140447	0
6.02699	0.000996869	1.31612	0.147588	0
6.02813	0.000992912	1.1995	0.139087	0
6.02672	0.000982534	1.08288	0.132625	0
6.02617	0.00101036	1.33278	0.146568	0
6.02664	0.000998296	1.23282	0.141127	0
6.02645	0.000989734	1.2828	0.147588	0
6.02662	0.000990512	1.38276	0.149289	0
6.02761	0.00103618	1.43274	0.15711	0
6.02806	0.00108923	1.43274	0.15541	0
6.02797	0.00105946	1.43274	0.153709	0
6.0275	0.00101211	1.41608	0.152689	0
6.02577	0.00102249	1.13286	0.137386	0
6.02647	0.00101334	1.4494	0.152689	0
6.02777	0.00104513	1.38276	0.150989	0
6.02773	0.00102405	1.2828	0.143848	0
6.02866	0.0010867	1.61599	0.160851	0
6.02763	0.00102476	1.21616	0.142147	0
6.02555	0.00100394	1.14952	0.138407	0
6.02754	0.00101626	1.64931	0.162211	0
6.02815	0.00103403	1.34944	0.147248	0
6.02586	0.00102152	1.16618	0.137386	0
6.02448	0.0010031	1.04956	0.130585	0
6.02526	0.000988307	1.31612	0.149289	0
6.02729	0.00101516	1.24948	0.142147	0
6.02679	0.000989409	1.46606	0.153369	0
6.02648	0.00103429	1.1162	0.134326	0
6.02534	0.00101075	1.1162	0.136366	0
6.02582	0.000989215	1.24948	0.142147	0
6.02751	0.00102975	1.49938	0.15847	0
6.0265	0.00102009	1.26614	0.146908	0
6.02738	0.00101159	1.29946	0.144868	0
6.02788	0.0010496	1.1995	0.143167	0
6.02605	0.00102301	1.33278	0.146568	0
6.02674	0.00105868	1.4494	0.15609	0
6.02778	0.00103922	1.24948	0.143848	0
6.02882	0.00105252	1.3661	0.148268	0
6.02838	0.00100491	1.23282	0.141127	0
6.02608	0.000992653	1.18284	0.140447	0
6.02655	0.00101146	1.33278	0.148268	0
6.02624	0.00101393	1.18284	0.138407	0
6.02418	0.000957627	0.932945	0.125484	0
6.02568	0.00097008	1.21616	0.140107	0
6.02706	0.000991939	1.01624	0.128545	0
6.02841	0.00104584	1.66597	0.163231	0
6.02806	0.00103105	1.21616	0.142147	0
6.02533	0.00101899	1.26614	0.146908	0
6.02566	0.00105252	1.51603	0.15779	0
6.02844	0.00104792	1.39942	0.149969	0
6.0265	0.00103027	1.26614	0.142827	0
6.02679	0.00102683	1.33278	0.146568	0
6.02799	0.00101458	1.39942	0.149969	0
6.02591	0.00105388	1.2828	0.145888	0
6.02579	0.00099635	1.23282	0.143167	0
6.02678	0.00102327	1.2828	0.145888	0
6.02688	0.0010258	1.2828	0.145888	0
6.02765	0.00104091	1.3661	0.148268	0
6.02717	0.0010509	1.41608	0.15439	0
6.02713	0.00105168	1.41608	0.152689	0
6.02741	0.00103092	1.33278	0.146568	0
6.02702	0.00102015	1.4494	0.15439	0
6.02687	0.000999723	1.23282	0.143167	0
6.02805	0.000976956	1.21616	0.140107	0
6.02907	0.00103851	1.69929	0.169693	0
6.02826	0.00106497	1.3661	0.150309	0
6.0269	0.00101237	1.26614	0.142827	0
6.02762	0.00104201	1.33278	0.148268	0
6.02778	0.00100329	1.16618	0.137386	0
6.02673	0.00105194	1.24948	0.142147	0
6.0262	0.00102184	1.23282	0.143167	0
6.02344	0.000972156	1.09954	0.139767	0
6.02389	0.00096781	1.24948	0.143848	0
6.02682	0.00100841	1.1995	0.139087	0
6.02717	0.00108333	1.53269	0.161871	0
6.02684	0.00101101	1.16618	0.137386	0
6.02681	0.00101613	1.43274	0.151669	0
6.02821	0.00106932	1.4494	0.152689	0
6.027	0.00103676	1.38276	0.150989	0
6.02805	0.00106984	1.58267	0.160851	0
6.02788	0.00103339	1.38276	0.149289	0
6.02693	0.00100796	1.24948	0.142147	0
6.02702	0.000988761	1.34944	0.149289	0
6.02725	0.00102748	1.1995	0.141127	0
6.02703	0.00101555	1.48272	0.15609	0
6.02735	0.00101587	1.29946	0.144868	0
6.02666	0.000991031	1.3661	0.152009	0
6.02739	0.00102956	1.29946	0.148608	0
6.02734	0.00101516	1.33278	0.146568	0
6.02539	0.00101088	1.41608	0.15439	0
6.02754	0.00101989	1.3661	0.148268	0
6.02764	0.000971443	0.966264	0.125484	0
6.02614	0.00101282	1.43274	0.151669	0
6.02775	0.00106212	1.53269	0.163571	0
6.02508	0.000999658	1.33278	0.148268	0
6.02349	0.00101782	1.13286	0.139427	0
6.02489	0.000977604	0.816327	0.122423	0
6.02644	0.000996933	1.3661	0.150309	0
6.02856	0.00105777	1.53269	0.161871	0
6.02643	0.00101334	1.16618	0.137386	0
6.02475	0.000992069	1.24948	0.143848	0
6.0264	0.000987204	1.04956	0.134666	0
6.02617	0.000993366	1.38276	0.152689	0
6.02568	0.000967291	1.23282	0.143167	0
6.02692	0.00101094	1.18284	0.138407	0
6.02646	0.00101484	1.2828	0.143848	0
6.02596	0.00099836	1.23282	0.141127	0
6.02719	0.000974751	0.966264	0.125484	0
6.02723	0.0010088	1.33278	0.150309	0
6.02693	0.00100348	1.26614	0.146908	0
6.02722	0.000996479	1.23282	0.143167	0
6.02614	0.000987918	1.1162	0.134326	0
6.02607	0.000997712	1.43274	0.153709	0
6.02815	0.00101931	1.2828	0.143848	0
6.02627	0.000985583	1.29946	0.148608	0
6.02678	0.00102035	1.41608	0.15439	0
6.02777	0.00103708	1.1995	0.139087	0
6.02674	0.00101931	1.3661	0.152009	0
6.02581	0.00099875	1.21616	0.145888	0
6.02682	0.00100264	1.3661	0.15575	0
6.02585	0.000982664	1.33278	0.146568	0
6.02453	0.0010088	0.866306	0.118683	0
6.0257	0.000975075	1.41608	0.150989	0
6.02797	0.00106653	1.43274	0.153709	0
6.02651	0.0010389	1.1995	0.141127	0
6.02427	0.000954708	1.1162	0.134326	0
6.02545	0.00101853	1.21616	0.144188	0
6.02713	0.0010317	1.13286	0.137386	0
6.02572	0.00100848	1.13286	0.135346	0
6.02813	0.00102645	1.1995	0.141127	0
6.02766	0.00100738	1.13286	0.135346	0
6.02623	0.00100854	1.24948	0.147928	0
6.02714	0.00104091	1.4494	0.15439	0
6.02769	0.0010437	1.49938	0.15677	0
6.02736	0.00102625	1.16618	0.139427	0
6.02676	0.00100465	1.21616	0.140107	0
6.02624	0.00100245	1.24948	0.142147	0
6.02679	0.000994598	1.06622	0.135686	0
6.02726	0.00103527	1.3661	0.148268	0
6.02757	0.00102327	1.43274	0.151669	0
6.02663	0.00104325	1.06622	0.131605	0
6.02507	0.000990058	1.0329	0.131605	0
6.02603	0.000995117	1.41608	0.152689	0
6.02675	0.00104902	1.33278	0.146568	0
6.0246	0.000997193	1.18284	0.140447	0
6.02612	0.00102346	1.68263	0.163911	0
6.02775	0.00102677	1.2828	0.143848	0
6.02692	0.00104305	1.64931	0.163911	0
6.02714	0.00104033	1.43274	0.151669	0
6.02556	0.00101276	1.13286	0.137386	0
6.02452	0.000977345	1.29946	0.144868	0
6.02747	0.00103929	1.51603	0.15779	0
6.02803	0.00102385	1.3661	0.148268	0
6.02639	0.0010378	1.34944	0.149289	0
6.02586	0.000988631	1.1162	0.134326	0
6.02623	0.000973064	0.899625	0.123444	0
6.02447	0.000975918	1.04956	0.134666	0
6.02604	0.00104376	1.33278	0.146568	0
6.02763	0.00101224	1.21616	0.140107	0
6.02602	0.00100796	1.21616	0.144188	0
6.02678	0.00106251	1.3661	0.150309	0
6.02652	0.000980848	0.949604	0.124464	0
6.02523	0.00100634	1.06622	0.135686	0
6.02656	0.00102619	1.39942	0.152009	0
6.0262	0.000989604	1.1162	0.134326	0
6.02453	0.000985777	1.21616	0.140107	0
6.02633	0.00102178	1.09954	0.135686	0
6.02671	0.0010173	1.14952	0.138407	0
6.02642	0.00104065	1.49938	0.15507	0
6.02894	0.00104513	1.41608	0.15439	0
6.03071	0.00107354	1.79925	0.170713	0
6.02769	0.00103909	1.18284	0.138407	0
6.02612	0.000999398	1.23282	0.143167	0
6.02702	0.00104804	1.23282	0.144868	0
6.02633	0.000978383	1.1995	0.139087	0
6.02726	0.00103442	1.46606	0.15711	0
6.02785	0.00104253	1.13286	0.135346	0
6.02443	0.000989539	1.18284	0.138407	0
6.02477	0.000985258	1.04956	0.130585	0
6.02544	0.001009	1.16618	0.137386	0
6.02489	0.000967097	0.982924	0.126504	0
6.0267	0.000986101	1.39942	0.152009	0
6.02769	0.00103566	1.2828	0.145888	0
6.02664	0.00100323	1.1995	0.139087	0
6.02579	0.00100433	1.21616	0.140107	0
6.02704	0.00101062	1.39942	0.149969	0
6.02856	0.00104785	1.2828	0.145888	0
6.02858	0.00108735	1.63265	0.164932	0
6.02792	0.0010568	1.56601	0.160171	0
6.02673	0.00103293	1.31612	0.145548	0
6.02698	0.00103825	1.1162	0.134326	0
6.02821	0.0010125	1.41608	0.150989	0
6.02833	0.0010459	1.3661	0.152009	0
6.02699	0.0010677	1.31612	0.145548	0
