a2672316.531416
Narit-cm 23/07/2026 16:51:14 23/07/2026 16:53:14 0045 0013.384714 0052.542598 00.0 00.0
0002401 0010 0000000 0010 05 0000000 0010 0000000 0010
1 0 1 05024 0 0750 3.75 00532.s 0 0 01 000 16 002401 0.500 BT0
1 2 1 04090 0 0750 3.75 00532.s 0 0 01 000 16 002401 0.500 S2A0
1 1 1 05024 0 0750 3.75 00532.s 0 0 00 000 00 002401 3.1746 BC0
1 3 1 04090 0 0750 3.75 00532.s 0 0 00 000 00 002401 3.1746 S2P0
1 5 0 05024 0 0000 1.00 00000.o 0 0 00 000 00 000000 0.000 OF0
532.000 .s Analog 0 	532.000 .s Analog StErr 0 	532.000 .s Photon Counting 0 	532.000 .s PC StErr 0 	0.000 .o Overflow Info 0 
6.00484	0.000593231	0	0	0
6.00402	0.000591025	0	0	0
6.00541	0.000597511	0	0	0
6.00538	0.000589014	0	0	0
6.00547	0.00060296	0	0	0
6.00569	0.00059135	0	0	0
6.00587	0.000590636	0	0	0
6.00558	0.000595955	0	0	0
6.00462	0.000601857	0.0166597	0.0166632	0
6.00507	0.000593231	0	0	0
6.00499	0.00059829	0	0	0
6.00551	0.000608862	0	0	0
6.00589	0.000604322	0	0	0
6.00519	0.000604063	0	0	0
6.00489	0.000608084	0	0	0
6.00544	0.000590766	0	0	0
6.00528	0.000589987	0	0	0
6.00534	0.000587717	0	0	0
6.0058	0.000594657	0	0	0
6.00493	0.000589274	0	0	0
6.00593	0.000607111	0	0	0
6.00587	0.000607371	0	0	0
6.00559	0.000603025	0	0	0
6.00532	0.000602571	0	0	0
6.00465	0.000601792	0	0	0
6.00561	0.000595306	0	0	0
6.00463	0.000587328	0	0	0
6.0045	0.000598679	0	0	0
6.00519	0.000594074	0	0	0
6.00469	0.00059842	0	0	0
6.00487	0.000591674	0	0	0
6.00592	0.000589728	0	0	0
6.00533	0.000611911	0	0	0
6.00524	0.000603608	0	0	0
6.0046	0.00059589	0	0	0
6.00579	0.000587977	0	0	0
6.00584	0.000590182	0	0	0
6.00533	0.000578637	0	0	0
6.00568	0.000585512	0	0	0
6.00573	0.000581231	0	0	0
6.00602	0.000586096	0	0	0
6.00645	0.000599133	0	0	0
6.00583	0.000603933	0	0	0
6.00535	0.000579934	0	0	0
6.0053	0.000596993	0	0	0
6.00543	0.000599198	0	0	0
6.00624	0.000595241	0	0	0
6.00584	0.000605295	0	0	0
6.00523	0.000601338	0	0	0
6.0059	0.000588236	0	0	0
6.00523	0.000599846	0	0	0
6.00486	0.000596928	0	0	0
6.00592	0.000600106	0	0	0
6.00443	0.000608862	0	0	0
6.00569	0.000588301	0	0	0
6.00592	0.00058149	0	0	0
