a2672316.473539
Narit-cm 23/07/2026 16:45:35 23/07/2026 16:47:35 0045 0013.384714 0052.542598 00.0 00.0
0002401 0010 0000000 0010 05 0000000 0010 0000000 0010
1 0 1 05024 0 0750 3.75 00532.s 0 0 01 000 16 002401 0.500 BT0
1 2 1 04090 0 0750 3.75 00532.s 0 0 01 000 16 002401 0.500 S2A0
1 1 1 05024 0 0750 3.75 00532.s 0 0 00 000 00 002401 3.1746 BC0
1 3 1 04090 0 0750 3.75 00532.s 0 0 00 000 00 002401 3.1746 S2P0
1 5 0 05024 0 0000 1.00 00000.o 0 0 00 000 00 000000 0.000 OF0
532.000 .s Analog 0 	532.000 .s Analog StErr 0 	532.000 .s Photon Counting 0 	532.000 .s PC StErr 0 	0.000 .o Overflow Info 0 
6.00774	0.000583112	0	0	0
6.00658	0.000587004	0	0	0
6.007	0.000589339	0	0	0
6.00759	0.000594917	0	0	0
6.00754	0.000600301	0	0	0
6.0084	0.000590766	0	0	0
6.00841	0.000586939	0	0	0
6.00901	0.000597447	0	0	0
6.00871	0.000601079	0	0	0
6.00844	0.000605814	0	0	0
6.00784	0.000599068	0	0	0
6.00784	0.000592712	0	0	0
6.00757	0.000593231	0	0	0
6.00836	0.000586809	0	0	0
6.00803	0.00059122	0	0	0
6.00711	0.000610419	0	0	0
6.00722	0.000603998	0	0	0
6.00665	0.00059816	0	0	0
6.00719	0.000590831	0	0	0
6.00799	0.000589728	0	0	0
6.00674	0.000582074	0	0	0
6.00573	0.000583371	0	0	0
6.0066	0.000597836	0	0	0
6.00662	0.000585901	0	0	0
6.00645	0.000606203	0	0	0
6.00714	0.000599522	0	0	0
6.00731	0.00059563	0	0	0
6.00613	0.000601857	0	0	0
6.00728	0.000605165	0	0	0
6.00823	0.0006075	0	0	0
6.00796	0.000605879	0	0	0
6.00756	0.000596344	0	0	0
6.00868	0.000601663	0	0	0
6.00806	0.000589663	0	0	0
6.00753	0.00058175	0	0	0
6.00732	0.000593036	0	0	0
6.00762	0.000589987	0	0	0
6.00766	0.000602246	0	0	0
6.0064	0.00059816	0	0	0
6.00684	0.000597576	0	0	0
6.00642	0.000590895	0	0	0
6.00641	0.000591868	0	0	0
6.00654	0.000589469	0	0	0
6.00524	0.0006051	0	0	0
6.00613	0.00059349	0	0	0
6.00706	0.000601209	0	0	0
6.00657	0.00059336	0	0	0
6.00702	0.000603414	0	0	0
6.00789	0.000601598	0	0	0
6.00768	0.000593295	0	0	0
6.0073	0.000605619	0	0	0
6.007	0.000598614	0	0	0
6.00773	0.000597706	0	0	0
6.0079	0.000593166	0	0	0
6.00683	0.000601857	0	0	0
6.0086	0.00058162	0	0	0
6.00789	0.000601403	0	0	0
6.00798	0.000589728	0	0	0
6.00736	0.000606138	0	0	0
6.00705	0.000599263	0	0	0
6.00692	0.000579155	0	0	0
6.00718	0.000594333	0	0	0
6.00705	0.000594203	0	0	0
6.00718	0.000585771	0	0	0
6.0073	0.000583112	0	0	0
6.0075	0.000591739	0	0	0
6.00667	0.000592128	0	0	0
6.00654	0.000586615	0	0	0
6.0071	0.00060309	0	0	0
6.00682	0.000589987	0	0	0
6.00692	0.000585577	0	0	0
6.00698	0.000598874	0	0	0
6.00791	0.000585058	0	0	0
6.00705	0.000589079	0	0	0
6.0075	0.000590831	0	0	0
6.00762	0.000608214	0	0	0
6.00759	0.000582788	0	0	0
6.00838	0.000582074	0	0	0
6.00788	0.000604063	0	0	0
6.00727	0.000588625	0	0	0
6.00749	0.000578961	0	0	0
6.0077	0.000589339	0	0	0
6.00739	0.000604711	0	0	0
6.00798	0.000595371	0	0	0
6.00791	0.000593295	0	0	0
6.00714	0.000592322	0	0	0
6.00772	0.000575329	0	0	0
6.0077	0.000592128	0	0	0
6.00697	0.000591674	0	0	0
6.0061	0.000576561	0	0	0
6.00607	0.000596474	0	0	0
6.00599	0.000596733	0	0	0
6.00694	0.000611003	0	0	0
6.00716	0.000591739	0	0	0
6.00585	0.000596539	0	0	0
6.00744	0.000596798	0	0	0
6.0073	0.000586874	0	0	0
6.00711	0.000601403	0	0	0
6.00706	0.000608862	0	0	0
6.00705	0.000586809	0	0	0
6.00713	0.000594852	0	0	0
6.0071	0.000587263	0	0	0
6.00725	0.00059589	0	0	0
6.00766	0.000591025	0	0	0
6.0081	0.000583696	0	0	0
6.00867	0.000603414	0	0	0
6.00857	0.000598938	0	0	0
6.00694	0.000590182	0	0	0
6.00738	0.00059842	0	0	0
6.00818	0.000611457	0	0	0
6.00725	0.000604192	0	0	0
6.00682	0.000587069	0	0	0
6.00733	0.000596214	0	0	0
6.00733	0.000589598	0	0	0
6.0062	0.000585642	0	0	0
6.00707	0.000612105	0	0	0
6.00741	0.000592647	0	0	0
6.00721	0.000590895	0	0	0
6.00701	0.000598809	0	0	0
6.00692	0.000593295	0	0	0
6.00781	0.000609511	0	0	0
6.00763	0.000595695	0	0	0
6.00744	0.000583177	0	0	0
6.00696	0.000576107	0	0	0
6.00689	0.000601857	0	0	0
6.00804	0.00060056	0	0	0
6.00831	0.000589079	0	0	0
6.00821	0.000604063	0	0	0
6.00647	0.000590312	0	0	0
6.00756	0.000588885	0	0	0
6.00748	0.000596798	0	0	0
6.00734	0.000587717	0	0	0
6.00795	0.000589339	0	0	0
6.0076	0.000594787	0	0	0
6.00762	0.000590312	0	0	0
6.00687	0.000593036	0	0	0
6.00693	0.000595825	0	0	0
6.00675	0.000592906	0	0	0
6.00636	0.000607111	0	0	0
6.0066	0.000589079	0	0	0
6.00704	0.000609316	0	0	0
6.00675	0.000606138	0	0	0
6.00668	0.000585447	0	0	0
6.00677	0.000591479	0	0	0
6.00706	0.000593555	0	0	0
6.00731	0.000606852	0	0	0
6.00723	0.000602895	0	0	0
6.00756	0.000596214	0	0	0
6.00733	0.00058869	0	0	0
6.00726	0.000593555	0	0	0
6.00776	0.00058415	0	0	0
6.00733	0.000596084	0	0	0
6.00639	0.00059576	0	0	0
6.00719	0.000593231	0	0	0
6.00757	0.000589404	0	0	0
6.0085	0.00059349	0	0	0
6.00738	0.000601079	0	0	0
6.00723	0.000594398	0	0	0
6.00694	0.000587458	0	0	0
6.00737	0.000609641	0	0	0
6.00755	0.000578961	0	0	0
6.00815	0.000585706	0	0	0
6.00767	0.000583955	0	0	0
6.00667	0.000594333	0	0	0
6.00781	0.000598549	0	0	0
6.00688	0.000592582	0	0	0
6.00552	0.000591025	0	0	0
6.00663	0.000608668	0	0	0
6.0077	0.000606657	0	0	0
6.00749	0.000594398	0	0	0
6.00735	0.000596603	0	0	0
6.00773	0.000592452	0	0	0
6.00706	0.000591674	0	0	0
6.00746	0.000583242	0	0	0
6.0068	0.000583307	0	0	0
6.00708	0.000600365	0	0	0
6.00767	0.000596798	0	0	0
