a2672317.023913
Narit-cm 23/07/2026 17:02:00 23/07/2026 17:02:39 0045 0013.384714 0052.542598 00.0 00.0
0000152 0010 0000000 0010 05 0000000 0010 0000000 0010
1 0 1 05024 0 0750 3.75 00532.s 0 0 01 000 16 000152 0.500 BT0
1 2 1 04090 0 0750 3.75 00532.s 0 0 01 000 16 000152 0.500 S2A0
1 1 1 05024 0 0750 3.75 00532.s 0 0 00 000 00 000152 3.1746 BC0
1 3 1 04090 0 0750 3.75 00532.s 0 0 00 000 00 000152 3.1746 S2P0
1 5 0 05024 0 0000 1.00 00000.o 0 0 00 000 00 000000 0.000 OF0
532.000 .s Analog 0 	532.000 .s Analog StErr 0 	532.000 .s Photon Counting 0 	532.000 .s PC StErr 0 	0.000 .o Overflow Info 0 
5.94439	0.00411736	2.10526	0.728127	0
5.94956	0.00508543	2.10526	0.728127	0
5.94796	0.00468921	2.10526	0.728127	0
5.9451	0.00424807	1.84211	0.685296	0
5.9462	0.00432976	1.31579	0.578218	0
5.95308	0.00460343	2.36842	0.770957	0
5.95187	0.00495063	1.84211	0.685296	0
5.94916	0.00521205	1.84211	0.685296	0
5.95493	0.00504458	1.31579	0.578218	0
5.95097	0.00574714	2.63158	0.89945	0
5.94454	0.00468104	1.84211	0.685296	0
5.95047	0.00467696	1.84211	0.685296	0
5.95032	0.00409285	1.31579	0.578218	0
5.94223	0.00448906	1.57895	0.642465	0
5.9464	0.00463203	2.36842	0.770957	0
5.95107	0.00509768	1.31579	0.578218	0
5.94489	0.00459935	0.789474	0.449725	0
5.94239	0.00436652	1.05263	0.513972	0
5.94575	0.00459118	2.89474	0.920866	0
5.9473	0.00448498	1.05263	0.513972	0
5.9454	0.00492612	1.84211	0.685296	0
5.94585	0.00454625	2.36842	0.856619	0
5.94776	0.00461569	1.05263	0.513972	0
5.946	0.00496289	3.68421	0.942281	0
5.94073	0.00446455	1.05263	0.513972	0
5.94173	0.00515487	1.84211	0.685296	0
5.94028	0.00411327	2.10526	0.728127	0
5.93722	0.00471372	1.31579	0.578218	0
5.94183	0.00407243	2.10526	0.728127	0
5.94555	0.00442371	1.31579	0.578218	0
5.93988	0.00416637	1.05263	0.513972	0
5.93691	0.00480358	1.57895	0.642465	0
5.93787	0.00401116	0.789474	0.449725	0
5.93802	0.00417046	1.31579	0.578218	0
5.94434	0.00460752	1.05263	0.513972	0
5.94585	0.00409285	1.84211	0.685296	0
5.94143	0.00434201	1.57895	0.642465	0
5.94299	0.00482809	1.57895	0.642465	0
5.93802	0.00438695	1.05263	0.513972	0
5.93862	0.00408876	0.789474	0.449725	0
5.94259	0.00423581	2.10526	0.728127	0
5.95207	0.00464837	1.84211	0.685296	0
5.9457	0.00461569	2.10526	0.728127	0
5.94038	0.00465245	1.57895	0.642465	0
5.94771	0.00461569	2.10526	0.728127	0
5.94961	0.00526515	3.15789	0.963697	0
5.95283	0.00539178	2.63158	0.813788	0
5.94776	0.00477091	3.15789	0.878035	0
5.94495	0.0049057	2.36842	0.856619	0
5.94444	0.005065	2.36842	0.770957	0
5.94068	0.00474231	1.31579	0.578218	0
5.93907	0.0044523	1.05263	0.513972	0
5.94163	0.00436244	2.36842	0.770957	0
5.94269	0.00447681	1.05263	0.513972	0
5.93445	0.00447272	2.89474	0.920866	0
5.94545	0.00529374	1.84211	0.685296	0
5.94766	0.00526515	2.36842	0.770957	0
5.93365	0.00366804	1.31579	0.578218	0
5.93842	0.00479133	2.36842	0.770957	0
5.94289	0.00441554	1.05263	0.513972	0
5.93696	0.00437878	0.789474	0.449725	0
5.94048	0.00502416	2.63158	0.813788	0
5.94213	0.00484035	1.31579	0.578218	0
5.94038	0.00444005	1.57895	0.642465	0
5.95252	0.00455442	1.57895	0.728127	0
5.95062	0.00505683	2.36842	0.770957	0
5.93988	0.00461977	1.05263	0.513972	0
5.93952	0.00454625	2.10526	0.728127	0
5.9461	0.00478316	1.31579	0.578218	0
5.93561	0.00377016	1.31579	0.578218	0
5.93912	0.00482401	2.10526	0.728127	0
5.95042	0.00484035	1.84211	0.685296	0
5.94525	0.00465245	1.84211	0.770957	0
5.93777	0.00435018	1.05263	0.513972	0
5.946	0.00487711	2.10526	0.728127	0
5.94801	0.00507726	2.36842	0.770957	0
5.94379	0.00495472	2.63158	0.813788	0
5.94259	0.00467696	1.84211	0.685296	0
5.94108	0.00531825	1.84211	0.685296	0
5.93882	0.00491795	0.526316	0.364063	0
5.93315	0.00428074	1.57895	0.642465	0
5.93536	0.00433385	0.789474	0.449725	0
5.93531	0.00448906	0.789474	0.449725	0
5.93892	0.00441145	2.10526	0.728127	0
5.94023	0.00435427	2.36842	0.770957	0
5.93716	0.00462386	1.84211	0.685296	0
5.93877	0.00470555	1.84211	0.685296	0
5.94028	0.00504458	2.10526	0.728127	0
5.94274	0.00454625	2.10526	0.728127	0
5.94188	0.00446455	2.36842	0.770957	0
5.93932	0.00462386	0.789474	0.449725	0
5.93631	0.00442371	1.57895	0.728127	0
5.94003	0.00419088	1.31579	0.578218	0
5.93797	0.00364762	1.05263	0.513972	0
5.94128	0.00454216	1.31579	0.578218	0
5.94856	0.00444413	2.63158	0.813788	0
5.945	0.00483626	2.10526	0.728127	0
5.94203	0.00538769	2.36842	0.770957	0
5.94264	0.00545305	1.31579	0.578218	0
5.93596	0.00410919	0.263158	0.256986	0
5.92878	0.00435427	1.05263	0.513972	0
5.9324	0.00371297	1.05263	0.513972	0
5.93832	0.00409693	1.05263	0.513972	0
5.94299	0.00525698	2.89474	0.920866	0
5.93917	0.00508951	1.05263	0.513972	0
5.93561	0.00417863	1.05263	0.513972	0
5.93967	0.00424398	1.84211	0.685296	0
5.94404	0.00467287	1.57895	0.642465	0
5.94188	0.00552249	2.36842	0.770957	0
5.94419	0.00508951	2.10526	0.728127	0
5.94279	0.00496697	1.57895	0.642465	0
5.93706	0.00493838	2.63158	0.813788	0
5.93445	0.00463203	0.263158	0.256986	0
5.93616	0.00435018	1.31579	0.578218	0
5.93782	0.00430117	1.57895	0.642465	0
5.93817	0.00431342	1.31579	0.578218	0
5.93641	0.00447681	1.31579	0.578218	0
5.94289	0.00480767	1.05263	0.513972	0
5.93737	0.00464837	1.84211	0.685296	0
5.93315	0.0045585	1.57895	0.642465	0
5.93044	0.00457893	0.526316	0.364063	0
5.93561	0.00457076	1.57895	0.642465	0
5.94198	0.00417046	1.31579	0.578218	0
5.94389	0.0046933	2.10526	0.728127	0
5.93711	0.00460343	1.84211	0.685296	0
5.93415	0.00456259	1.05263	0.513972	0
5.93817	0.00471781	2.36842	0.770957	0
5.94023	0.00489345	1.57895	0.642465	0
5.9328	0.00424807	1.31579	0.578218	0
5.93345	0.00406426	1.05263	0.513972	0
5.9341	0.00422356	1.57895	0.642465	0
5.93024	0.00415003	1.84211	0.685296	0
5.93275	0.00358635	1.31579	0.578218	0
5.93962	0.00495063	2.63158	0.813788	0
5.94038	0.00479133	2.36842	0.770957	0
5.94033	0.00469738	1.05263	0.513972	0
5.93722	0.00415003	0.789474	0.449725	0
5.94118	0.00477499	2.89474	0.835204	0
5.95438	0.00552657	3.42105	0.920866	0
5.94595	0.00452174	1.31579	0.578218	0
5.93942	0.00460752	2.10526	0.813788	0
5.94911	0.0046116	2.36842	0.770957	0
5.94464	0.00487302	1.57895	0.642465	0
5.93079	0.00446864	1.84211	0.685296	0
5.93621	0.00466879	1.05263	0.513972	0
5.93817	0.00379058	1.84211	0.685296	0
5.93631	0.00448498	2.10526	0.728127	0
5.94334	0.00487302	3.15789	0.878035	0
5.94419	0.00510177	2.36842	0.770957	0
5.9322	0.00446864	1.57895	0.642465	0
5.93405	0.00465653	1.84211	0.685296	0
5.94239	0.00426032	2.10526	0.728127	0
5.94033	0.00468513	2.36842	0.770957	0
5.93807	0.00491387	2.36842	0.770957	0
